Account Code,Actual,Fund,Department,Division,Function,Cost Center
450010,0,6100,91,910,91,0000
450012,-855716.11,6100,91,910,91,0000
450705,-52440.8,6100,91,910,91,0000
450706,-14102.4,6100,91,910,91,0000
453100,0,6100,91,910,91,0000
489000,-547.35,6100,91,910,91,0000
511001,473624.24,6100,91,910,91,0000
511003,0,6100,91,910,91,0000
511004,722.36,6100,91,910,91,0000
511010,1136.16,6100,91,910,91,0000
512001,35142.01,6100,91,910,91,0000
512002,23183.1,6100,91,910,91,0000
512005,23415.1,6100,91,910,91,0000
512012,4818.59,6100,91,910,91,0000
512014,47028,6100,91,910,91,0000
512018,0,6100,91,910,91,0000
512024,0,6100,91,910,91,0000
521001,0,6100,91,910,91,0000
521004,5227.21,6100,91,910,91,0000
521008,0,6100,91,910,91,0000
521009,0,6100,91,910,91,0000
522001,0,6100,91,910,91,0000
523001,11087.09,6100,91,910,91,0000
523002,14988.8,6100,91,910,91,0000
524001,8285.93,6100,91,910,91,0000
524003,0,6100,91,910,91,0000
524004,10,6100,91,910,91,0000
528001,18042.44,6100,91,910,91,0000
528502,2511.2,6100,91,910,91,0000
528503,0,6100,91,910,91,0000
528504,0,6100,91,910,91,0000
528505,4897.25,6100,91,910,91,0000
571001,0,6100,91,910,91,0000
571002,0,6100,91,910,91,0000
571004,0,6100,91,910,91,0000
436000,0,6100,91,911,91,0000
436001,0,6100,91,911,91,0000
450010,0,6100,91,911,91,0000
450503,-597.24,6100,91,911,91,0000
450707,0,6100,91,911,91,0000
460000,-300865.96,6100,91,911,91,0000
486000,-58286.8,6100,91,911,91,0000
488012,-2037.17,6100,91,911,91,0000
489000,0,6100,91,911,91,0000
498001,0,6100,91,911,91,0000
499100,0,6100,91,911,91,0000
499101,0,6100,91,911,91,0000
511001,0,6100,91,911,91,0000
512008,7019,6100,91,911,91,0000
512010,178616,6100,91,911,91,0000
512011,0,6100,91,911,91,0000
512014,0,6100,91,911,91,0000
512024,0,6100,91,911,91,0000
521002,10771.88,6100,91,911,91,0000
521003,650.13,6100,91,911,91,0000
521004,0,6100,91,911,91,0000
521005,48076.59,6100,91,911,91,0000
521007,5807.5,6100,91,911,91,0000
521009,0,6100,91,911,91,0000
521013,0,6100,91,911,91,0000
524001,546.41,6100,91,911,91,0000
524009,182228.33,6100,91,911,91,0000
525001,803983,6100,91,911,91,0000
528005,118660.06,6100,91,911,91,0000
528013,0,6100,91,911,91,0000
528201,3151.13,6100,91,911,91,0000
528202,92413.96,6100,91,911,91,0000
573001,15373.29,6100,91,911,91,0000
574001,1202.9,6100,91,911,91,0000
574005,0,6100,91,911,91,0000
574006,26953,6100,91,911,91,0000
574008,2676753,6100,91,911,91,0000
581091,7743756.98,6100,91,911,91,0000
611101,0,6100,91,911,91,0000
614101,0,6100,91,911,91,0000
616101,0,6100,91,911,91,0000
711101,4033407.38,6100,91,911,91,0000
712101,3650925.67,6100,91,911,91,0000
712201,-45883.31,6100,91,911,91,0000
712202,9520,6100,91,911,91,0000
498601,-6334685.26,6100,91,911,99,0000
498619,0,6100,91,911,99,0000
498639,0,6100,91,911,99,0000
498641,0,6100,91,911,99,0000
800110,0,6100,91,911,99,0000
800410,200003,6100,91,911,99,0000
800610,6334685.26,6100,91,911,99,0000
800611,5597735,6100,91,911,99,0000
800622,0,6100,91,911,99,0000
482482,-33.65,6100,91,912,91,0000
489000,-3617.45,6100,91,912,91,0000
511001,756201.09,6100,91,912,91,0000
511003,2205.05,6100,91,912,91,0000
511004,6393.82,6100,91,912,91,0000
512001,55901.19,6100,91,912,91,0000
512002,35353.99,6100,91,912,91,0000
512005,36263.98,6100,91,912,91,0000
512014,147803,6100,91,912,91,0000
512024,0,6100,91,912,91,0000
521001,66061.81,6100,91,912,91,0000
521002,0,6100,91,912,91,0000
521004,19297.36,6100,91,912,91,0000
521007,0,6100,91,912,91,0000
521008,3523.84,6100,91,912,91,0000
522001,26643.79,6100,91,912,91,0000
523001,1164.74,6100,91,912,91,0000
523002,577.54,6100,91,912,91,0000
524001,19902.79,6100,91,912,91,0000
528001,75,6100,91,912,91,0000
528012,71.85,6100,91,912,91,0000
528502,37672.83,6100,91,912,91,0000
528504,449.16,6100,91,912,91,0000
528505,54.08,6100,91,912,91,0000
614101,0,6100,91,912,91,0000
616101,0,6100,91,912,91,0000
450315,-2475,6100,91,913,91,0000
450316,0,6100,91,913,91,0000
482482,0,6100,91,913,91,0000
511001,1600102.01,6100,91,913,91,0000
511002,2372.96,6100,91,913,91,0000
511003,0,6100,91,913,91,0000
511004,52614.82,6100,91,913,91,0000
511008,2524.29,6100,91,913,91,0000
