Account Code,Actual,Fund,Department,Division,Function,Cost Center
460000,-16021.88,6200,21,220,20,0000
482401,-5.25,6200,21,220,20,0000
482403,-359454.75,6200,21,220,20,0000
482404,-425385.42,6200,21,220,20,0000
482405,-215122.25,6200,21,220,20,0000
482406,-587011.09,6200,21,220,20,0000
482480,0,6200,21,220,20,0000
482482,-150.07,6200,21,220,20,0000
484400,-22260,6200,21,220,20,0000
486000,-1139.25,6200,21,220,20,0000
489000,0,6200,21,220,20,0000
492002,-9675863.63,6200,21,220,20,0000
492003,-1023168.5,6200,21,220,20,0000
499100,0,6200,21,220,20,0000
499101,0,6200,21,220,20,0000
511001,221184.18,6200,21,220,20,0000
511002,0,6200,21,220,20,0000
511003,0,6200,21,220,20,0000
511004,1886.17,6200,21,220,20,0000
511008,357.87,6200,21,220,20,0000
511010,1097.91,6200,21,220,20,0000
512001,16577.35,6200,21,220,20,0000
512002,15447.39,6200,21,220,20,0000
512005,11226.34,6200,21,220,20,0000
512010,16042,6200,21,220,20,0000
512011,0,6200,21,220,20,0000
512012,1217.83,6200,21,220,20,0000
512014,73396,6200,21,220,20,0000
512024,7277.27,6200,21,220,20,0000
521001,166.34,6200,21,220,20,0000
521004,0,6200,21,220,20,0000
521005,703.74,6200,21,220,20,0000
521006,100.62,6200,21,220,20,0000
521007,1647.71,6200,21,220,20,0000
521008,3345,6200,21,220,20,0000
521009,184.95,6200,21,220,20,0000
521010,56321.27,6200,21,220,20,0000
522001,65917.01,6200,21,220,20,0000
522002,13016.26,6200,21,220,20,0000
522003,59361.73,6200,21,220,20,0000
522006,-1178,6200,21,220,20,0000
523001,343.26,6200,21,220,20,0000
523002,97.59,6200,21,220,20,0000
524001,6027.16,6200,21,220,20,0000
524003,0,6200,21,220,20,0000
524005,262.62,6200,21,220,20,0000
524101,41583.87,6200,21,220,20,0000
525001,28583,6200,21,220,20,0000
528001,5226.72,6200,21,220,20,0000
528005,30747.71,6200,21,220,20,0000
528008,572.5,6200,21,220,20,0000
528012,340,6200,21,220,20,0000
528201,3697.57,6200,21,220,20,0000
528202,0,6200,21,220,20,0000
528502,4215.36,6200,21,220,20,0000
528503,0,6200,21,220,20,0000
528508,80701.29,6200,21,220,20,0000
528512,0,6200,21,220,20,0000
528514,0,6200,21,220,20,0000
528522,2590.28,6200,21,220,20,0000
571001,22279.97,6200,21,220,20,0000
571002,7827.43,6200,21,220,20,0000
571004,0,6200,21,220,20,0000
571999,0,6200,21,220,20,0000
573001,1584.31,6200,21,220,20,0000
574006,0,6200,21,220,20,0000
574008,0,6200,21,220,20,0000
581091,0,6200,21,220,20,0000
614101,29802.97,6200,21,220,20,0000
616101,0,6200,21,220,20,0000
711101,0,6200,21,220,20,0000
711150,10600000,6200,21,220,20,0000
712101,102355.38,6200,21,220,20,0000
712201,97560.03,6200,21,220,20,0000
712210,0,6200,21,220,20,0000
800110,0,6200,21,220,99,0000
800650,500000,6200,21,220,99,0000
450010,0,6200,21,221,20,0000
450312,-966.62,6200,21,221,20,0000
482400,-57626.34,6200,21,221,20,0000
482407,-40209.83,6200,21,221,20,0000
482408,-11940.86,6200,21,221,20,0000
482409,-2700,6200,21,221,20,0000
482410,-1103315.94,6200,21,221,20,0000
482411,-105.67,6200,21,221,20,0000
482412,0,6200,21,221,20,0000
482420,-663.1,6200,21,221,20,0000
482450,65820,6200,21,221,20,0000
482451,-7207.21,6200,21,221,20,0000
482456,-205457.02,6200,21,221,20,0000
482457,-5296.27,6200,21,221,20,0000
482470,-181314.26,6200,21,221,20,0000
482471,-70107.48,6200,21,221,20,0000
482478,0,6200,21,221,20,0000
482480,0,6200,21,221,20,0000
482482,-37.48,6200,21,221,20,0000
489020,0,6200,21,221,20,0000
511001,298517.31,6200,21,221,20,0000
511002,0,6200,21,221,20,0000
511003,100.05,6200,21,221,20,0000
511004,2250.81,6200,21,221,20,0000
511008,368.58,6200,21,221,20,0000
512001,21590.25,6200,21,221,20,0000
512002,20718.29,6200,21,221,20,0000
512005,15056.66,6200,21,221,20,0000
512012,0,6200,21,221,20,0000
512014,111325,6200,21,221,20,0000
512024,11979.95,6200,21,221,20,0000
521001,135933.71,6200,21,221,20,0000
521002,85118.7,6200,21,221,20,0000
521003,0,6200,21,221,20,0000
521004,38516.13,6200,21,221,20,0000
521008,403.37,6200,21,221,20,0000
522002,6157.92,6200,21,221,20,0000
522003,0,6200,21,221,20,0000
522006,0,6200,21,221,20,0000
523001,1589.15,6200,21,221,20,0000
523002,825,6200,21,221,20,0000
524001,5264.47,6200,21,221,20,0000
524005,2594.01,6200,21,221,20,0000
524009,1121.65,6200,21,221,20,0000
524101,21288.82,6200,21,221,20,0000
528001,0,6200,21,221,20,0000
528012,2671.07,6200,21,221,20,0000
528201,4972.33,6200,21,221,20,0000
528202,0,6200,21,221,20,0000
528502,0,6200,21,221,20,0000
528505,6121.87,6200,21,221,20,0000
528510,231.99,6200,21,221,20,0000
573001,5545.8,6200,21,221,20,0000
611101,0,6200,21,221,20,0000
614101,34453.95,6200,21,221,20,0000
616101,0,6200,21,221,20,0000
450317,0,6200,21,221,20,2252
488013,-1576,6200,21,221,20,2252
521001,0,6200,21,221,20,2252
521004,13557.36,6200,21,221,20,2252
521009,0,6200,21,221,20,2252
528521,0,6200,21,221,20,2252
498643,0,6200,21,221,99,0000
800621,3381109,6200,21,221,99,0000
