Account Code,Actual,Fund,Department,Division,Function,Cost Center
460000,-12100.41,6200,21,220,20,0000
482401,-5,6200,21,220,20,0000
482403,-281913.24,6200,21,220,20,0000
482404,-347320.39,6200,21,220,20,0000
482405,-199600.13,6200,21,220,20,0000
482406,-478626.54,6200,21,220,20,0000
482480,0,6200,21,220,20,0000
482482,-288.16,6200,21,220,20,0000
484400,-15260,6200,21,220,20,0000
486000,0,6200,21,220,20,0000
489000,-1650,6200,21,220,20,0000
492002,0,6200,21,220,20,0000
492003,0,6200,21,220,20,0000
499100,0,6200,21,220,20,0000
499101,0,6200,21,220,20,0000
511001,202894.7,6200,21,220,20,0000
511002,0,6200,21,220,20,0000
511003,0,6200,21,220,20,0000
511004,1537.63,6200,21,220,20,0000
511008,388.49,6200,21,220,20,0000
511010,0,6200,21,220,20,0000
512001,15282.29,6200,21,220,20,0000
512002,12924.9,6200,21,220,20,0000
512005,10131.44,6200,21,220,20,0000
512010,0,6200,21,220,20,0000
512011,0,6200,21,220,20,0000
512012,531.92,6200,21,220,20,0000
512014,71396,6200,21,220,20,0000
512024,0,6200,21,220,20,0000
521001,45,6200,21,220,20,0000
521004,0,6200,21,220,20,0000
521005,702.44,6200,21,220,20,0000
521006,1163.8,6200,21,220,20,0000
521007,0,6200,21,220,20,0000
521008,6110.1,6200,21,220,20,0000
521009,0,6200,21,220,20,0000
521010,60018.12,6200,21,220,20,0000
522001,51900.45,6200,21,220,20,0000
522002,7812.38,6200,21,220,20,0000
522003,48162.13,6200,21,220,20,0000
522006,-750,6200,21,220,20,0000
523001,0,6200,21,220,20,0000
523002,520,6200,21,220,20,0000
524001,408.58,6200,21,220,20,0000
524003,0,6200,21,220,20,0000
524005,745.48,6200,21,220,20,0000
524101,34116.74,6200,21,220,20,0000
525001,0,6200,21,220,20,0000
528001,0,6200,21,220,20,0000
528005,16180.24,6200,21,220,20,0000
528008,336.84,6200,21,220,20,0000
528012,791.87,6200,21,220,20,0000
528201,3352.06,6200,21,220,20,0000
528202,0,6200,21,220,20,0000
528502,4224.96,6200,21,220,20,0000
528503,0,6200,21,220,20,0000
528508,78642.1,6200,21,220,20,0000
528512,1494.99,6200,21,220,20,0000
528514,356.47,6200,21,220,20,0000
528522,0,6200,21,220,20,0000
571001,20823.46,6200,21,220,20,0000
571002,0,6200,21,220,20,0000
571004,0,6200,21,220,20,0000
571999,0,6200,21,220,20,0000
573001,247.44,6200,21,220,20,0000
574006,3000,6200,21,220,20,0000
574008,0,6200,21,220,20,0000
581091,0,6200,21,220,20,0000
614101,0,6200,21,220,20,0000
616101,0,6200,21,220,20,0000
711101,0,6200,21,220,20,0000
711150,0,6200,21,220,20,0000
712101,24154.89,6200,21,220,20,0000
712201,0,6200,21,220,20,0000
712210,0,6200,21,220,20,0000
800110,0,6200,21,220,99,0000
800650,484000,6200,21,220,99,0000
450010,0,6200,21,221,20,0000
450312,-486.13,6200,21,221,20,0000
482400,-90043.48,6200,21,221,20,0000
482407,-34659.53,6200,21,221,20,0000
482408,0,6200,21,221,20,0000
482409,-2175,6200,21,221,20,0000
482410,-1051120.76,6200,21,221,20,0000
482411,0,6200,21,221,20,0000
482412,0,6200,21,221,20,0000
482420,-170,6200,21,221,20,0000
482450,66430,6200,21,221,20,0000
482451,-30045.34,6200,21,221,20,0000
482456,-172804.92,6200,21,221,20,0000
482457,-8376.66,6200,21,221,20,0000
482470,-168549.28,6200,21,221,20,0000
482471,-93990.92,6200,21,221,20,0000
482478,0,6200,21,221,20,0000
482480,0,6200,21,221,20,0000
482482,-69.58,6200,21,221,20,0000
489020,0,6200,21,221,20,0000
511001,301723.47,6200,21,221,20,0000
511002,0,6200,21,221,20,0000
511003,157,6200,21,221,20,0000
511004,8381.63,6200,21,221,20,0000
511008,452.06,6200,21,221,20,0000
512001,23009.73,6200,21,221,20,0000
512002,19647.18,6200,21,221,20,0000
512005,15407.78,6200,21,221,20,0000
512012,0,6200,21,221,20,0000
512014,109325,6200,21,221,20,0000
512024,0,6200,21,221,20,0000
521001,86319.28,6200,21,221,20,0000
521002,46410.15,6200,21,221,20,0000
521003,0,6200,21,221,20,0000
521004,20910,6200,21,221,20,0000
521008,578,6200,21,221,20,0000
522002,6114.25,6200,21,221,20,0000
522003,0,6200,21,221,20,0000
522006,0,6200,21,221,20,0000
523001,335,6200,21,221,20,0000
523002,0,6200,21,221,20,0000
524001,0,6200,21,221,20,0000
524005,688.12,6200,21,221,20,0000
524009,1265.75,6200,21,221,20,0000
524101,45008.56,6200,21,221,20,0000
528001,7829.25,6200,21,221,20,0000
528012,2581.5,6200,21,221,20,0000
528201,5055.18,6200,21,221,20,0000
528202,0,6200,21,221,20,0000
528502,0,6200,21,221,20,0000
528505,4316.65,6200,21,221,20,0000
528510,1448.44,6200,21,221,20,0000
573001,7394.4,6200,21,221,20,0000
