Account Code,Actual,Fund,Department,Division,Function,Cost Center
435000,-158049,6500,21,950,95,0000
435100,0,6500,21,950,95,0000
435505,0,6500,21,950,95,0000
435507,0,6500,21,950,95,0000
435516,0,6500,21,950,95,0000
435521,0,6500,21,950,95,0000
436000,0,6500,21,950,95,0000
436505,0,6500,21,950,95,0000
437000,0,6500,21,950,95,0000
437100,-1800,6500,21,950,95,0000
450604,0,6500,21,950,95,0000
460000,-4021.31,6500,21,950,95,0000
483304,0,6500,21,950,95,0000
489000,0,6500,21,950,95,0000
499100,0,6500,21,950,95,0000
511001,151428.78,6500,21,950,95,0000
511003,900,6500,21,950,95,0000
511004,0,6500,21,950,95,0000
511010,1261.73,6500,21,950,95,0000
512001,11263.52,6500,21,950,95,0000
512002,10418.26,6500,21,950,95,0000
512005,7571.39,6500,21,950,95,0000
512010,0,6500,21,950,95,0000
512011,0,6500,21,950,95,0000
512014,27026,6500,21,950,95,0000
512024,5617.9,6500,21,950,95,0000
521001,342.12,6500,21,950,95,0000
521002,0,6500,21,950,95,0000
521004,0,6500,21,950,95,0000
521005,703.96,6500,21,950,95,0000
521008,75,6500,21,950,95,0000
521009,0,6500,21,950,95,0000
523001,5538.46,6500,21,950,95,0000
523002,1495.96,6500,21,950,95,0000
524001,2564.56,6500,21,950,95,0000
524009,214.93,6500,21,950,95,0000
524101,100.98,6500,21,950,95,0000
525001,108829,6500,21,950,95,0000
527102,419967,6500,21,950,95,0000
528001,0,6500,21,950,95,0000
528005,20,6500,21,950,95,0000
528013,0,6500,21,950,95,0000
528301,0,6500,21,950,95,0000
528502,1859.63,6500,21,950,95,0000
528503,0,6500,21,950,95,0000
528504,8075.4,6500,21,950,95,0000
528505,793.2,6500,21,950,95,0000
528999,0,6500,21,950,95,0000
571001,0,6500,21,950,95,0000
571004,0,6500,21,950,95,0000
573001,0,6500,21,950,95,0000
574006,0,6500,21,950,95,0000
574008,0,6500,21,950,95,0000
614101,0,6500,21,950,95,0000
712101,0,6500,21,950,95,0000
435000,0,6500,21,950,95,9500
435507,-419967,6500,21,950,95,9500
435516,0,6500,21,950,95,9500
521001,0,6500,21,950,95,9500
524001,0,6500,21,950,95,9500
524003,0,6500,21,950,95,9500
524005,0,6500,21,950,95,9500
524006,0,6500,21,950,95,9500
528502,0,6500,21,950,95,9500
528505,0,6500,21,950,95,9500
498200,0,6500,21,950,99,0000
498201,0,6500,21,950,99,0000
498638,0,6500,21,950,99,0000
498641,0,6500,21,950,99,0000
800651,0,6500,21,950,99,0000
433100,-37902.11,6500,21,951,95,0000
435000,-1519423,6500,21,951,95,0000
436000,-744179.33,6500,21,951,95,0000
442800,-312874.33,6500,21,951,95,0000
450600,-661899.82,6500,21,951,95,0000
450601,0,6500,21,951,95,0000
450602,-19810,6500,21,951,95,0000
450603,-119001.73,6500,21,951,95,0000
486000,-17968.33,6500,21,951,95,0000
489000,-513.03,6500,21,951,95,0000
499101,0,6500,21,951,95,0000
521001,0,6500,21,951,95,0000
521002,0,6500,21,951,95,0000
521004,0,6500,21,951,95,0000
521006,0,6500,21,951,95,0000
521014,195054.54,6500,21,951,95,0000
521015,4437639,6500,21,951,95,0000
522002,0,6500,21,951,95,0000
522003,0,6500,21,951,95,0000
523001,0,6500,21,951,95,0000
523002,0,6500,21,951,95,0000
524001,0,6500,21,951,95,0000
524003,0,6500,21,951,95,0000
524005,0,6500,21,951,95,0000
524006,0,6500,21,951,95,0000
524009,0,6500,21,951,95,0000
524101,0,6500,21,951,95,0000
528001,0,6500,21,951,95,0000
528502,0,6500,21,951,95,0000
528508,0,6500,21,951,95,0000
528522,0,6500,21,951,95,0000
571001,0,6500,21,951,95,0000
571002,0,6500,21,951,95,0000
571999,0,6500,21,951,95,0000
581091,0,6500,21,951,95,0000
614101,6734.83,6500,21,951,95,0000
498100,-985295,6500,21,951,99,0000
498101,0,6500,21,951,99,0000
498401,0,6500,21,951,99,0000
498620,0,6500,21,951,99,0000
498633,-500000,6500,21,951,99,0000
498638,0,6500,21,951,99,0000
486100,0,6500,21,999,95,0000
499910,0,6500,21,999,95,0000
511001,918.06,6500,21,999,95,0000
512001,70.23,6500,21,999,95,0000
512002,58.3,6500,21,999,95,0000
512005,45.9,6500,21,999,95,0000
512019,5665.36,6500,21,999,95,0000
512024,-5617.9,6500,21,999,95,0000
581091,571810.61,6500,21,999,95,0000
612101,-51551,6500,21,999,95,0000
614101,-6734.83,6500,21,999,95,0000
616101,0,6500,21,999,95,0000
800910,0,6500,21,999,95,0000
